1	36
16121	16465
57222	57262
63613	66794
71680	71724
81428	81462
91905	91945
94939	95046
95076	95114
97647	97776
101260	101296
101316	101354
115703	117371
118937	118982
124924	124964
182262	182296
182577	182611
232030	232071
241467	241503
244830	244867
284134	284172
293054	298842
371802	371849
372716	372762
408920	408959
411516	411556
443912	443952
454474	454511
461414	461631
495566	495603
500208	500248
500255	500296
504409	504568
510925	511159
511173	511240
511276	511356
511399	511476
514178	514212
529245	529286
529317	529347
537147	537388
537789	538336
540842	540884
540901	541013
541607	541900
550543	550577
550589	550628
561618	561992
603961	603993
623617	623651
644683	644732
644749	644854
649291	649338
649356	649463
650887	650937
661527	661566
679727	679745
690443	690483
691654	691688
691691	697853
720921	721023
727647	727678
743283	743486
783325	783362
824656	824694
834752	834783
889240	889278
898510	898601
943687	943848
945574	945748
949022	949125
949645	949733
955174	955202
983826	983945
983952	984265
984914	984964
985143	985212
996566	996645
1015812	1015850
1023305	1024027
1063115	1063164
1063204	1064045
1065481	1065651
1069024	1069079
1069173	1069264
1069287	1069330
1069375	1069422
1069454	1069918
1070122	1070232
1077531	1077585
1077680	1077776
1077794	1077837
1078379	1078443
1078452	1079646
1108682	1108710
1150098	1150140
1173089	1173130
1176339	1176409
1176991	1177031
1177247	1177275
1178227	1178281
1178704	1178749
1182510	1182646
1182682	1183308
1183334	1183427
1189302	1189438
1226454	1226583
1250405	1250554
1251933	1252346
1253421	1253629
1253722	1254113
1258200	1260142
1333114	1333181
1358605	1358651
1359072	1359128
1360081	1360107
1360324	1360364
1360947	1361016
1363921	1363962
1367905	1367923
1368676	1368708
1372135	1372196
1372476	1372556
1373028	1373069
1374455	1374495
1398358	1398399
1431315	1431640
1433059	1433162
1433218	1433340
1433354	1433450
1433468	1433509
1433534	1433738
1433864	1433913
1448704	1448794
1463886	1463931
1464808	1464842
1475355	1475640
1475646	1475682
1475712	1475761
1505674	1505723
1505760	1505808
1523911	1524092
1548003	1548050
1548174	1548278
1548287	1548348
1548418	1548461
1548491	1548594
1548604	1548688
1548734	1548778
1581847	1582013
1584405	1584571
1594308	1594450
1639260	1639607
1641105	1641141
1644753	1644816
1644824	1644944
1667156	1667195
1667205	1667272
1667458	1668582
1696906	1697630
1769223	1769353
1808460	1808646
1815786	1815851
1815862	1815902
1899036	1899084
1899212	1899413
1899439	1899481
1899500	1899594
1899610	1899737
1899788	1899891
1901297	1901620
1901948	1902049
1907824	1907885
1907936	1908159
1920181	1920282
1920538	1920573
1921570	1921636
1921644	1922532
1936887	1936921
1943292	1943385
2015238	2015277
2061706	2061750
2065758	2065838
2065953	2066206
2066240	2066283
2066333	2066417
2066493	2066624
2066636	2066714
2066774	2066826
2066845	2066927
2070278	2070320
2070366	2070422
2070434	2070504
2070560	2070587
2079893	2079935
2136561	2136780
2147221	2147303
2147418	2147496
2147527	2147606
2147616	2147698
2147740	2147822
2147858	2147939
2147979	2148018
2152580	2152617
2193113	2193158
2196408	2196470
2221456	2221508
2251713	2251758
2251833	2252840
2253031	2253106
2253129	2253241
2255334	2256001
2256003	2256159
2321482	2321522
2322385	2322606
2322619	2322789
2336441	2336489
2338889	2338928
2378505	2378639
2382366	2382403
2395048	2395085
2481977	2523178
2540330	2540549
2542165	2542234
2550825	2551202
2551261	2551575
2560482	2561264
2573363	2573409
2573496	2573563
2574397	2574441
2574516	2574584
2575428	2575509
2584632	2584748
2584772	2584894
2585130	2585242
2586410	2586523
2586548	2586669
2586906	2587015
2600217	2600295
2609656	2609760
2609915	2610037
2610185	2615250
2615303	2615364
2625586	2625630
2657599	2723460
2724659	2724728
2724909	2724958
2725639	2725950
2725959	2726077
